Project_ID,Project_Name,Project_Type,State,Contractor,Consultant,Year_Start,Budget_NGN,Actual_Cost_NGN,Cost_Overrun_NGN,Planned_Duration_Months,Actual_Duration_Months,Schedule_Delay_Months,Pct_Complete,Primary_Delay_Reason,Status
PRJ-001,Lagos Bridge Phase 1,Bridge,Lagos,Pioneer Builders Ltd,Mott McDonald,2020,322099000.00,325802000.00,3703000.00,46,49,3,84,Poor site supervision,Ongoing
PRJ-002,Kano Bridge Phase 2,Bridge,Kano,Apex Infra Ltd,Scott Wilson,2023,101745000.00,108796000.00,7051000.00,46,60,14,87,Permit issues,Ongoing
PRJ-003,Rivers Road Construction Phase 2,Road Construction,Rivers,Grandeur Works,Julius Berger Consult,2021,353185000.00,538370000.00,185185000.00,33,35,2,78,Material price escalation,Ongoing
PRJ-004, Edo School Block Phase 2,School Block, Edo,Pioneer Builders Ltd,AECOM Nigeria,2022,1095645000.00,1680576000.00,584931000.00,36,38,2,67,Permit issues,Ongoing
PRJ-005,Kano Erosion Control Phase 2,Erosion Control,Kano,BuildRight Nig Ltd,AECOM Nigeria,2020,1557483000.00,2400288000.00,842805000.00,26,42,16,78,Design changes,Ongoing
PRJ-006,Rivers School Block Phase 3,School Block,Rivers,Nile Construction,Julius Berger Consult,2020,1356842000.00,1860355000.00,503513000.00,16,23,7,51,Labour dispute,Ongoing
PRJ-007,Rivers Housing Estate Phase 1,Housing Estate,Rivers,Greenfield Eng Ltd,CCECC Consult,2021,1979571000.00,2640747000.00,661176000.00,47,54,7,71,Poor site supervision,Ongoing
PRJ-008,Enugu Road Construction Phase 3,Road Construction,Enugu,Grandeur Works,Julius Berger Consult,2019,461417000.00,699391000.00,237974000.00,32,37,5,93,Community protest,Ongoing
PRJ-009,Rivers Culvert Phase 1,Culvert,Rivers,Pioneer Builders Ltd,Mott McDonald,2020,1502729000.00,1913555000.00,410826000.00,39,64,25,81,Funding delay,Ongoing
PRJ-010,Anambra Drainage System Phase 1,Drainage System,Anambra,Greenfield Eng Ltd,AECOM Nigeria,2019,1729151000.00,1801265000.00,72114000.00,22,34,12,84,Permit issues,Ongoing
